,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,SOL-USD,0.005962225206101082,19.0
1,UMA-USD,ZEC-USD,0.022760572842899396,17.0
2,UMA-USD,AAVE-USD,0.008173849725173394,18.0
3,UMA-USD,ETC-USD,0.019556055281214086,19.0
4,UMA-USD,XTZ-USD,0.6655530550332446,18.0
5,UMA-USD,LINK-USD,0.07682411500294381,19.0
6,UMA-USD,BCH-USD,0.0013106508721286879,19.0
7,UMA-USD,XMR-USD,0.005228368485316714,19.0
8,UMA-USD,YFI-USD,0.00012897250899326728,18.0
9,UMA-USD,RUNE-USD,0.10556876114569266,17.0
10,UMA-USD,DOGE-USD,2.8184737143815064,19.0
11,UMA-USD,MKR-USD,0.0007333754169241714,17.0
12,UMA-USD,COMP-USD,0.00628089663482796,19.0
13,UMA-USD,ICP-USD,0.08395428092902636,20.0
14,UMA-USD,ALGO-USD,2.5630793983064164,18.0
15,UMA-USD,FIL-USD,0.06005863255655481,18.0
16,UMA-USD,MATIC-USD,0.850698591826885,18.0
17,UMA-USD,TRX-USD,0.4872933047469368,20.0
18,UMA-USD,CRV-USD,1.1066629848203149,18.0
19,UMA-USD,NEAR-USD,0.10939984094328166,17.0
20,UMA-USD,DOT-USD,0.08464454593224223,18.0
21,UMA-USD,BTC-USD,9.759552051140244e-06,18.0
22,UMA-USD,CELO-USD,0.5233676294636583,18.0
23,UMA-USD,1INCH-USD,1.6994211994998323,18.0
24,UMA-USD,ADA-USD,1.0067773490565228,19.0
25,UMA-USD,ENJ-USD,1.0266554956002902,18.0
26,UMA-USD,ZRX-USD,0.6918700584542561,18.0
27,UMA-USD,SUSHI-USD,0.5174761947252193,18.0
28,UMA-USD,AVAX-USD,0.02573688256507657,19.0
29,UMA-USD,SNX-USD,0.2580122241105286,18.0
30,UMA-USD,UNI-USD,0.04031176404411473,18.0
31,UMA-USD,ETH-USD,0.00016829122946886618,17.0
32,UMA-USD,XLM-USD,8.870277183929932,18.0
33,UMA-USD,EOS-USD,0.7097512816043668,18.0
34,UMA-USD,ATOM-USD,0.0711708837266983,19.0
35,UMA-USD,LTC-USD,0.01195196691396908,18.0
36,ZEC-USD,FIL-USD,2.2777402227347987,1.0
37,ZEC-USD,MATIC-USD,33.31064902925112,2.0
38,ZEC-USD,SUSHI-USD,13.889024232471268,2.0
39,ZEC-USD,UNI-USD,1.4545241332325287,2.0
40,AAVE-USD,XTZ-USD,93.9194294931909,17.0
